scenario,task_id,workload_file,mode,memory_mode,backend,model,round,stage,prompt_tokens,output_tokens,total_tokens,latency,ttft,tokens_per_second,peak_gpu_memory_mb,success,score,failure_reason,passed_checks,total_checks,extractor_effective,extractor_status,extractor_success_count,extractor_failure_count,refill_count,refill_tokens,initial_score,final_score,agent_meta_enabled,agent_meta_sent,agent_meta_agent_id,agent_meta_session_id,agent_meta_context_id,agent_meta_segment_type,agent_meta_priority,cache_stats_available,cache_stats_unavailable_reason,cache_total_blocks,cache_agent_sessions,cache_tool_result_blocks,cache_shared_prefix_blocks,cache_scratchpad_blocks,cache_expired_branch_blocks,session_id,step,context_id,segment_type,priority,ttl,prompt_label
ttl-priority,ttl_priority_step_1,metric:ttl-priority,ttl_priority,ttl_priority,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,1,shared_prefix,4054,512,4566,9.894499609999912,1.4572177990012278,51.74592148980888,-1,True,1.0,,1,1,-1,-1,-1,-1,-1,-1,-1,-1,True,True,agentmem_benchmark,ttl_priority_session,ttl_priority_session:step_1:shared_prefix:ttl_3600:priority_high,shared_prefix,high,True,,8823,15,2758,1672,1655,1648,ttl_priority_session,1,ttl_priority_session:step_1:shared_prefix:ttl_3600:priority_high,shared_prefix,high,3600,shared_prefix_ttl_3600_priority_high
ttl-priority,ttl_priority_step_2,metric:ttl-priority,ttl_priority,ttl_priority,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,2,tool_schema,4054,512,4566,9.312534597000194,0.8518270050008141,54.979661516095554,-1,True,1.0,,1,1,-1,-1,-1,-1,-1,-1,-1,-1,True,True,agentmem_benchmark,ttl_priority_session,ttl_priority_session:step_2:tool_schema:ttl_1800:priority_high,tool_schema,high,True,,8823,15,2758,1672,1655,1648,ttl_priority_session,2,ttl_priority_session:step_2:tool_schema:ttl_1800:priority_high,tool_schema,high,1800,tool_schema_ttl_1800_priority_high
ttl-priority,ttl_priority_step_3,metric:ttl-priority,ttl_priority,ttl_priority,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,3,tool_result,3974,469,4443,10.706746233001468,1.0919025090006471,43.80415765850493,-1,True,1.0,,1,1,-1,-1,-1,-1,-1,-1,-1,-1,True,True,agentmem_benchmark,ttl_priority_session,ttl_priority_session:step_3:tool_result:ttl_120:priority_low,tool_result,low,True,,8823,15,2758,1672,1655,1648,ttl_priority_session,3,ttl_priority_session:step_3:tool_result:ttl_120:priority_low,tool_result,low,120,tool_result_ttl_120_priority_low
ttl-priority,ttl_priority_step_4,metric:ttl-priority,ttl_priority,ttl_priority,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,4,scratchpad,3894,488,4382,12.50599255400084,0.6729911190013809,39.0212930235499,-1,True,1.0,,1,1,-1,-1,-1,-1,-1,-1,-1,-1,True,True,agentmem_benchmark,ttl_priority_session,ttl_priority_session:step_4:scratchpad:ttl_60:priority_low,scratchpad,low,True,,8823,15,2758,1672,1655,1648,ttl_priority_session,4,ttl_priority_session:step_4:scratchpad:ttl_60:priority_low,scratchpad,low,60,scratchpad_ttl_60_priority_low
ttl-priority,ttl_priority_step_5,metric:ttl-priority,ttl_priority,ttl_priority,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,5,expired_branch,3814,512,4326,12.729576174999238,0.6975784870010102,40.221291970864115,-1,True,1.0,,1,1,-1,-1,-1,-1,-1,-1,-1,-1,True,True,agentmem_benchmark,ttl_priority_session,ttl_priority_session:step_5:expired_branch:ttl_1:priority_drop,expired_branch,drop,True,,8823,15,2758,1672,1655,1648,ttl_priority_session,5,ttl_priority_session:step_5:expired_branch:ttl_1:priority_drop,expired_branch,drop,1,expired_branch_ttl_1_priority_drop
