file,scenario,mode,rows,avg_prompt_tokens,avg_output_tokens,avg_total_tokens,avg_latency,avg_ttft,tokens_per_second,peak_gpu_memory_mb,success_rate,avg_score,avg_raw_tool_tokens,avg_injected_tool_tokens,avg_tool_compression_ratio,avg_state_view_tokens,avg_event_count,avg_snapshot_count,avg_branch_saving_ratio,agent_meta_enabled,agent_id,cache_stats_available,cache_stats_unavailable_reason,cache_total_blocks,cache_agent_sessions,cache_tool_result_blocks,cache_shared_prefix_blocks,cache_scratchpad_blocks,cache_expired_branch_blocks
ablation.csv,ablation,both,6,4740.5,113.16666666666667,9925.166666666666,3.408525357666955,1.2722521475002395,0.0,-1.0,100.0,1.0,6112.0,4199.666666666667,0.6871182373472949,0.0,0.0,0.0,0.0,,,,,-1,-1,-1,-1,-1,-1
branch_benchmark.csv,branching,both,6,6248.666666666667,512.0,2949.6666666666665,12.52118578749984,0.532279116999689,42.41312682351562,-1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3138185654008439,,,,,-1,-1,-1,-1,-1,-1
branching_baseline.csv,branching,baseline,3,9585.333333333334,512.0,2949.6666666666665,10.81540589899972,0.7684637316663915,48.83640962493786,-1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,-1,-1,-1,-1,-1,-1
branching_optimized.csv,branching,optimized,3,2912.0,512.0,2949.6666666666665,14.226965675999963,0.29609450233298656,35.98984402209338,-1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6276371308016878,,,,,-1,-1,-1,-1,-1,-1
long_session_baseline.csv,long-session,full_history,50,2322.34,33.26,2355.6,0.8236718316599582,0.3194951792400025,39.35154650274149,-1.0,98.0,0.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,-1,-1,-1,-1,-1,-1
long_session_event_sourced_memory.csv,long-session,event_sourced_memory,50,2503.6,179.98,2683.58,3.4041554664999785,0.48223994167989076,51.67632870559878,-1.0,98.0,0.99333334,0.0,0.0,0.0,1028.84,105.16,10.0,0.0,,,,,-1,-1,-1,-1,-1,-1
long_session_full_history.csv,long-session,full_history,50,2322.34,33.26,2355.6,0.8236718316599582,0.3194951792400025,39.35154650274149,-1.0,98.0,0.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,-1,-1,-1,-1,-1,-1
long_session_optimized.csv,long-session,event_sourced_memory,50,2503.6,179.98,2683.58,3.4041554664999785,0.48223994167989076,51.67632870559878,-1.0,98.0,0.99333334,0.0,0.0,0.0,1028.84,105.16,10.0,0.0,,,,,-1,-1,-1,-1,-1,-1
long_session_summary_memory.csv,long-session,summary_memory,50,1665.94,56.7,1722.64,1.3752708927199455,0.5063411036999969,41.23460351501973,-1.0,98.0,0.99166666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,-1,-1,-1,-1,-1,-1
multi_stage_baseline.csv,multi-stage,full_history,4,10845.25,231.75,11077.0,4.825833519250182,1.1154185732500537,47.96095225922616,-1.0,50.0,0.89166675,1528.0,1528.0,1.0,0.0,0.0,0.0,0.0,,,,,-1,-1,-1,-1,-1,-1
multi_stage_event_sourced_memory.csv,multi-stage,event_sourced_memory,4,1198.75,400.75,1599.5,7.716288419250532,0.3518412692503716,54.86123566147116,-1.0,100.0,1.0,1528.0,93.75,0.7653386780104712,398.25,10.0,0.5,0.0,,,,,-1,-1,-1,-1,-1,-1
multi_stage_full_history.csv,multi-stage,full_history,4,10845.25,231.75,11077.0,4.825833519250182,1.1154185732500537,47.96095225922616,-1.0,50.0,0.89166675,1528.0,1528.0,1.0,0.0,0.0,0.0,0.0,,,,,-1,-1,-1,-1,-1,-1
multi_stage_optimized.csv,multi-stage,event_sourced_memory,4,1198.75,400.75,1599.5,7.716288419250532,0.3518412692503716,54.86123566147116,-1.0,100.0,1.0,1528.0,93.75,0.7653386780104712,398.25,10.0,0.5,0.0,,,,,-1,-1,-1,-1,-1,-1
multi_stage_summary_memory.csv,multi-stage,summary_memory,4,1550.25,246.75,1797.0,5.4768447505000495,0.4411217670001406,48.31959891130454,-1.0,75.0,0.975,1528.0,93.75,0.7653386780104712,0.0,0.0,0.0,0.0,,,,,-1,-1,-1,-1,-1,-1
prefix_cache_baseline.csv,prefix-cache,baseline,6,324.1666666666667,143.5,467.6666666666667,3.162347887166561,0.6282959516664354,47.45196510708652,-1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,-1,-1,-1,-1,-1,-1
prefix_cache_optimized.csv,prefix-cache,optimized,6,358.0,146.33333333333334,504.3333333333333,4.125239071333302,0.3075531141665427,40.434055783272306,-1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,-1,-1,-1,-1,-1,-1
tool_heavy_baseline.csv,tool-heavy,baseline,1,13697.0,156.0,13853.0,4.193704979000358,1.6769038550000914,37.29350516266379,-1.0,100.0,1.0,6112.0,6112.0,1.0,0.0,0.0,0.0,0.0,,,,,-1,-1,-1,-1,-1,-1
tool_heavy_optimized.csv,tool-heavy,optimized,1,2086.0,713.0,2799.0,11.739564361000703,0.29615698199995677,61.43413228595417,-1.0,100.0,1.0,6112.0,375.0,0.061354712041884814,0.0,0.0,0.0,0.0,,,,,-1,-1,-1,-1,-1,-1
vllm_benchmark.csv,ablation,both,302,2621.67880794702,131.24834437086093,2702.254966887417,2.7952145749966784,0.46557003511916806,44.07077774923433,-1.0,96.68874172185431,0.9915562947019867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,-1,-1,-1,-1,-1,-1
