scenario,task_id,workload_file,mode,memory_mode,backend,model,round,stage,prompt_tokens,output_tokens,total_tokens,latency,ttft,tokens_per_second,peak_gpu_memory_mb,success,score,failure_reason,passed_checks,total_checks,extractor_effective,extractor_status,extractor_success_count,extractor_failure_count,refill_count,refill_tokens,initial_score,final_score,session_id,step,completed_stages,tool_names,raw_tool_tokens,injected_tool_tokens,tool_compression_ratio,history_tokens,full_history_tokens,summary_tokens,state_view_tokens,event_count,memory_delta_count,fact_count,decision_count,artifact_ref_count,snapshot_count,early_fact_retention,initial_score,final_score,missing_keywords
multi-stage,multi_stage_agentmem_01_plan,benchmarks/tasks/multi_stage.jsonl,full_history,full_history,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,1,planning,705,285,990,6.320550338999965,1.9173426980005388,45.09101023077883,-1,True,1.0,,6,6,False,not_used,0,0,-1,-1,1.0,1.0,multi_stage_agentmem_01,1,planning,,0,0,1.0,23,23,0,0,0,0,0,0,0,0,1.0,1.0,1.0,
multi-stage,multi_stage_agentmem_01_tool,benchmarks/tasks/multi_stage.jsonl,full_history,full_history,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,2,tool_calling,14010,136,14146,4.016561606000323,1.7983279729996866,34.027426343822974,-1,True,1.0,,12,12,False,not_used,0,0,-1,-1,1.0,1.0,multi_stage_agentmem_01,2,"planning,tool_calling",log_analyzer,6112,6112,1.0,6299,6299,0,0,0,0,0,0,0,0,1.0,1.0,1.0,
multi-stage,multi_stage_agentmem_01_reflect,benchmarks/tasks/multi_stage.jsonl,full_history,full_history,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,3,reflection,14179,279,14458,4.880375114000344,0.3485877490002167,57.16773679949969,-1,False,0.666667,answer_keyword:baseline;answer_keyword:optimized;required_answer_point:baseline;required_answer_point:optimized,8,12,False,not_used,0,0,-1,-1,0.666667,0.666667,multi_stage_agentmem_01,3,"planning,tool_calling,reflection",,0,0,1.0,6375,6375,0,0,0,0,0,0,0,0,1.0,0.666667,0.666667,
multi-stage,multi_stage_agentmem_01_final,benchmarks/tasks/multi_stage.jsonl,full_history,full_history,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,4,final_answer,14487,227,14714,4.085847018000095,0.39741587299977255,55.55763566280316,-1,False,0.9,answer_keyword:success rate;required_answer_point:success rate,18,20,False,not_used,0,0,-1,-1,0.9,0.9,multi_stage_agentmem_01,4,"planning,tool_calling,reflection,final_answer",,0,0,1.0,6538,6538,0,0,0,0,0,0,0,0,1.0,0.9,0.9,
