scenario,task_id,workload_file,mode,memory_mode,backend,model,round,stage,prompt_tokens,output_tokens,total_tokens,latency,ttft,tokens_per_second,peak_gpu_memory_mb,success,score,failure_reason,passed_checks,total_checks,extractor_effective,extractor_status,extractor_success_count,extractor_failure_count,refill_count,refill_tokens,initial_score,final_score,stable_prefix_hash,stable_prefix_tokens,unique_prefix_hashes,prefix_cache_hit_rate,cached_prompt_tokens,kv_cache_usage,extractor_effective,extractor_status,extractor_success_count,extractor_failure_count
prefix-cache,prefix_cache_round_01,metric:prefix-cache,baseline,baseline,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,1,prefix_cache,324,136,460,3.60399746999974,1.5144568209998397,37.73587554710736,-1,True,1.0,,4,4,-1,-1,-1,-1,-1,-1,-1,-1,a292c840a212ccc7,178,6,-1.0,-1.0,-1.0,-1,-1,-1,-1
prefix-cache,prefix_cache_round_02,metric:prefix-cache,baseline,baseline,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,2,prefix_cache,324,137,461,2.428890403999503,0.3123591399998986,56.40435639846516,-1,True,1.0,,4,4,-1,-1,-1,-1,-1,-1,-1,-1,fde12a4b48e5cdb8,178,6,-1.0,-1.0,-1.0,-1,-1,-1,-1
prefix-cache,prefix_cache_round_03,metric:prefix-cache,baseline,baseline,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,3,prefix_cache,324,149,473,2.7618731470001876,0.44837205699968763,53.94889340295609,-1,True,1.0,,4,4,-1,-1,-1,-1,-1,-1,-1,-1,290d28766d20b2e9,178,6,-1.0,-1.0,-1.0,-1,-1,-1,-1
prefix-cache,prefix_cache_round_04,metric:prefix-cache,baseline,baseline,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,4,prefix_cache,324,152,476,3.0810851169999296,0.5037619149998136,49.33326871151267,-1,True,1.0,,4,4,-1,-1,-1,-1,-1,-1,-1,-1,fba61f6fe82def2b,178,6,-1.0,-1.0,-1.0,-1,-1,-1,-1
prefix-cache,prefix_cache_round_05,metric:prefix-cache,baseline,baseline,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,5,prefix_cache,324,100,424,1.9666196439993655,0.42405814899939287,50.84867341029787,-1,True,1.0,,4,4,-1,-1,-1,-1,-1,-1,-1,-1,c216bc6640d6c26d,178,6,-1.0,-1.0,-1.0,-1,-1,-1,-1
prefix-cache,prefix_cache_round_06,metric:prefix-cache,baseline,baseline,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,6,prefix_cache,325,187,512,5.131621541000641,0.5667676279999796,36.440723172179986,-1,True,1.0,,4,4,-1,-1,-1,-1,-1,-1,-1,-1,a76fd1778f2013ac,178,6,-1.0,-1.0,-1.0,-1,-1,-1,-1
