scenario,task_id,workload_file,variant,mode,backend,prompt_tokens,output_tokens,total_tokens,latency,ttft,peak_gpu_memory_mb,raw_tool_tokens,injected_tool_tokens,tool_compression_ratio,history_tokens,summary_tokens,tool_brief_tokens,loaded_skill_tokens,unique_prefix_hashes,prefix_reuse_score,success,score,failure_reason,passed_checks,total_checks
ablation,ablation_log_context,metric:ablation,baseline,baseline,vllm,6737,97,14247,4.1131138450000435,2.548779702000502,-1,6112,6112,1.0,283,0,0,323,3,0.3333333333333333,True,1.0,,2,2
ablation,ablation_log_context,metric:ablation,stable_prefix_only,stable_prefix_only,vllm,6737,97,14247,1.9154216060005638,0.3480536610004492,-1,6112,6112,1.0,283,0,0,323,1,1.0,True,1.0,,3,3
ablation,ablation_log_context,metric:ablation,skill_lazy_loading_only,skill_lazy_loading_only,vllm,6627,133,14024,4.161323500000435,2.000134540000545,-1,6112,6112,1.0,283,0,133,80,3,0.3333333333333333,True,1.0,,3,3
ablation,ablation_log_context,metric:ablation,tool_externalization_only,tool_externalization_only,vllm,1026,137,1828,4.487253975000385,0.4157615989997794,-1,6112,375,0.061354712041884814,283,0,0,323,3,0.3333333333333333,True,1.0,,3,3
ablation,ablation_log_context,metric:ablation,history_summary_only,history_summary_only,vllm,6568,60,13914,2.838071955000487,1.8769724690000658,-1,6112,6112,1.0,101,13,0,323,3,0.3333333333333333,True,1.0,,4,4
ablation,ablation_log_context,metric:ablation,full_optimized,full_optimized,vllm,748,155,1291,2.9359672649998174,0.4438109140000961,-1,6112,375,0.061354712041884814,101,13,133,80,1,1.0,True,1.0,,7,7
