scenario,task_id,workload_file,mode,memory_mode,backend,model,round,stage,prompt_tokens,output_tokens,total_tokens,latency,ttft,tokens_per_second,peak_gpu_memory_mb,success,score,failure_reason,passed_checks,total_checks,extractor_effective,extractor_status,extractor_success_count,extractor_failure_count,refill_count,refill_tokens,initial_score,final_score,session_id,history_tokens,full_history_tokens,summary_tokens,state_view_tokens,event_count,memory_delta_count,fact_count,decision_count,artifact_ref_count,snapshot_count,recent_turns,tool_names,early_fact_retention,initial_score,final_score,missing_keywords
long-session,long_session_memory_retention_r12,benchmarks/tasks/long_session.jsonl,full_history,full_history,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,12,reflection,1500,35,1535,0.8302893680001944,0.30088360700028716,42.153978298312744,-1,True,1.0,,1,1,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,409,409,0,0,0,0,0,0,0,0,6,,0.833333,1.0,1.0,benchmark
long-session,long_session_memory_retention_r13,benchmarks/tasks/long_session.jsonl,full_history,full_history,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,13,reflection,1557,31,1588,0.7667078230006155,0.2998955120001483,40.43261209814878,-1,True,1.0,,1,1,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,434,434,0,0,0,0,0,0,0,0,6,,0.833333,1.0,1.0,benchmark
long-session,long_session_memory_retention_r14,benchmarks/tasks/long_session.jsonl,full_history,full_history,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,14,reflection,1612,33,1645,0.801865153000108,0.300960262999979,41.15405174614884,-1,True,1.0,,1,1,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,460,460,0,0,0,0,0,0,0,0,6,,0.833333,1.0,1.0,benchmark
long-session,long_session_memory_retention_r15,benchmarks/tasks/long_session.jsonl,full_history,full_history,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,15,tool_calling,1706,20,1726,0.629722380000203,0.3309746750001068,31.93124054382734,-1,True,1.0,,2,2,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,496,496,0,0,0,0,0,0,0,0,6,calculator,0.833333,1.0,1.0,benchmark
long-session,long_session_memory_retention_r16,benchmarks/tasks/long_session.jsonl,full_history,full_history,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,16,reflection,1748,30,1778,0.7530991230005384,0.3026302710004529,39.83539362052684,-1,True,1.0,,1,1,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,518,518,0,0,0,0,0,0,0,0,6,,0.833333,1.0,1.0,benchmark
long-session,long_session_memory_retention_r17,benchmarks/tasks/long_session.jsonl,full_history,full_history,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,17,reflection,1799,30,1829,0.7519407930003581,0.3008456670004307,39.89675820126135,-1,True,1.0,,1,1,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,545,545,0,0,0,0,0,0,0,0,6,,1.0,1.0,1.0,
long-session,long_session_memory_retention_r18,benchmarks/tasks/long_session.jsonl,full_history,full_history,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,18,reflection,1861,41,1902,0.9322349630001554,0.3062118850002662,43.980328594469555,-1,True,1.0,,1,1,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,574,574,0,0,0,0,0,0,0,0,6,,1.0,1.0,1.0,
long-session,long_session_memory_retention_r19,benchmarks/tasks/long_session.jsonl,full_history,full_history,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,19,reflection,1924,31,1955,0.7671215359996495,0.29947066899967467,40.41080656092304,-1,True,1.0,,1,1,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,607,607,0,0,0,0,0,0,0,0,6,,1.0,1.0,1.0,
long-session,long_session_memory_retention_r20,benchmarks/tasks/long_session.jsonl,full_history,full_history,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,20,tool_calling,2016,20,2036,0.6215006869988429,0.3089532789999794,32.88644372482438,-1,True,1.0,,2,2,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,647,647,0,0,0,0,0,0,0,0,6,calculator,1.0,1.0,1.0,
long-session,long_session_memory_retention_r21,benchmarks/tasks/long_session.jsonl,full_history,full_history,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,21,reflection,2061,33,2094,0.8075487490004889,0.3088523830001577,40.86440606940996,-1,True,1.0,,1,1,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,667,667,0,0,0,0,0,0,0,0,6,,1.0,1.0,1.0,
long-session,long_session_memory_retention_r22,benchmarks/tasks/long_session.jsonl,full_history,full_history,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,22,reflection,2123,38,2161,0.8774008740001591,0.2985318660003031,43.30973575026677,-1,True,1.0,,1,1,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,695,695,0,0,0,0,0,0,0,0,6,,1.0,1.0,1.0,
long-session,long_session_memory_retention_r23,benchmarks/tasks/long_session.jsonl,full_history,full_history,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,23,reflection,2185,33,2218,0.7978475850004543,0.3011493170006361,41.3612833082414,-1,True,1.0,,1,1,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,724,724,0,0,0,0,0,0,0,0,6,,1.0,1.0,1.0,
long-session,long_session_memory_retention_r24,benchmarks/tasks/long_session.jsonl,full_history,full_history,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,24,reflection,2240,31,2271,0.778800813000089,0.3117055550001169,39.80478638765425,-1,True,1.0,,1,1,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,753,753,0,0,0,0,0,0,0,0,6,,1.0,1.0,1.0,
long-session,long_session_memory_retention_r25,benchmarks/tasks/long_session.jsonl,full_history,full_history,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,25,tool_calling,2332,20,2352,0.6179612109999653,0.30660397599967837,33.077754206367494,-1,True,1.0,,2,2,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,792,792,0,0,0,0,0,0,0,0,6,calculator,1.0,1.0,1.0,
long-session,long_session_memory_retention_r26,benchmarks/tasks/long_session.jsonl,full_history,full_history,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,26,reflection,2376,32,2408,0.7836843940003746,0.299350479000168,40.832764113948535,-1,True,1.0,,1,1,False,not_used,0,0,-1,-1,1.0,1.0,long_session_memory_retention,812,812,0,0,0,0,0,0,0,0,6,,1.0,1.0,1.0,
