scenario,metric,off_before,off_after,off_delta,on_before,on_after,on_delta,delta_diff
cache-pressure,cache_stats.raw.sessions.cache_pressure_session_2.accessed_blocks,0.0,1700.0,1700.0,0.0,0.0,0.0,-1700.0
cache-pressure,cache_stats.raw.sessions.cache_pressure_session_2.cached_blocks,1731.0,1731.0,0.0,0.0,1731.0,1731.0,1731.0
cache-pressure,cache_stats.raw.sessions.cache_pressure_session_3.accessed_blocks,0.0,1700.0,1700.0,0.0,0.0,0.0,-1700.0
cache-pressure,cache_stats.raw.sessions.cache_pressure_session_3.cached_blocks,1732.0,1732.0,0.0,0.0,1732.0,1732.0,1732.0
cache-pressure,cache_stats.raw.sessions.cache_pressure_session_4.accessed_blocks,0.0,1360.0,1360.0,0.0,0.0,0.0,-1360.0
cache-pressure,cache_stats.raw.sessions.cache_pressure_session_4.cached_blocks,1728.0,1731.0,3.0,0.0,1728.0,1728.0,1725.0
cache-pressure,cache_stats.raw.sessions.event_run_1782986384912_8ef74b85.accessed_blocks,95.0,95.0,0.0,87.0,95.0,8.0,8.0
cache-pressure,cache_stats.raw.sessions.event_run_1782986384912_8ef74b85.cached_blocks,61.0,61.0,0.0,61.0,61.0,0.0,0.0
cache-pressure,cache_stats.raw.sessions.event_run_1782986631624_018456ba.cached_blocks,42.0,42.0,0.0,42.0,42.0,0.0,0.0
cache-pressure,cache_stats.raw.sessions.event_run_1782986854590_7a8f6ad9.cached_blocks,44.0,44.0,0.0,44.0,44.0,0.0,0.0
cache-pressure,cache_stats.raw.sessions.run_1782986379073_44cd6758.accessed_blocks,4075.0,4075.0,0.0,4075.0,4075.0,0.0,0.0
cache-pressure,cache_stats.raw.sessions.run_1782986379073_44cd6758.cached_blocks,824.0,824.0,0.0,824.0,824.0,0.0,0.0
cache-pressure,cache_stats.raw.sessions.run_1782986627119_1f350e07.cached_blocks,9.0,9.0,0.0,9.0,9.0,0.0,0.0
cache-pressure,cache_stats.raw.sessions.run_1782986848299_f52a22b4.cached_blocks,9.0,9.0,0.0,9.0,9.0,0.0,0.0
cache-pressure,cache_stats.raw.sessions.task_001.accessed_blocks,1331.0,1351.0,20.0,1311.0,1331.0,20.0,0.0
cache-pressure,cache_stats.raw.sessions.task_001.cached_blocks,158.0,158.0,0.0,158.0,158.0,0.0,0.0
cache-pressure,cache_stats.raw.sessions.task_001.evicted_blocks,157.0,157.0,0.0,157.0,157.0,0.0,0.0
cache-pressure,cache_stats.raw.sessions.task_002.cached_blocks,301.0,301.0,0.0,301.0,301.0,0.0,0.0
cache-pressure,cache_stats.raw.sessions.task_002.evicted_blocks,301.0,301.0,0.0,301.0,301.0,0.0,0.0
cache-pressure,cache_stats.raw.sessions.task_unique_1782459993.cached_blocks,152.0,152.0,0.0,152.0,152.0,0.0,0.0
cache-pressure,cache_stats.raw.sessions.task_unique_1782459993.evicted_blocks,152.0,152.0,0.0,152.0,152.0,0.0,0.0
cache-pressure,summary.avg_latency,,2.437991168150256,,,2.745731302650347,,0.30774013450009097
cache-pressure,summary.avg_prompt_tokens,,5483.8,,,5483.8,,0.0
cache-pressure,summary.avg_score,,1.0,,,1.0,,0.0
cache-pressure,summary.avg_ttft,,0.41750076775060735,,,0.9550059798499205,,0.5375052120993131
cache-pressure,summary.success_rate,,100.0,,,100.0,,0.0
cache-pressure,summary.tokens_per_second,,41.9676459035568,,,36.797693347285204,,-5.169952556271596
