scenario,task_id,workload_file,mode,memory_mode,backend,model,round,stage,prompt_tokens,output_tokens,total_tokens,latency,ttft,tokens_per_second,peak_gpu_memory_mb,success,score,failure_reason,passed_checks,total_checks,extractor_effective,extractor_status,extractor_success_count,extractor_failure_count,refill_count,refill_tokens,initial_score,final_score,session_id,step,completed_stages,tool_names,raw_tool_tokens,injected_tool_tokens,tool_compression_ratio,history_tokens,full_history_tokens,summary_tokens,state_view_tokens,event_count,memory_delta_count,fact_count,decision_count,artifact_ref_count,snapshot_count,early_fact_retention,initial_score,final_score,missing_keywords
multi-stage,multi_stage_agentmem_01_plan,benchmarks/tasks/multi_stage.jsonl,event_sourced_memory,event_sourced_memory,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,1,planning,510,300,810,7.9130244090001725,0.29608083099992655,37.912179274814804,-1,True,1.0,,6,6,False,not_used,0,0,-1,-1,1.0,1.0,multi_stage_agentmem_01,1,planning,,0,0,1.0,23,117,0,130,4,1,0,0,0,0,1.0,1.0,1.0,
multi-stage,multi_stage_agentmem_01_tool,benchmarks/tasks/multi_stage.jsonl,event_sourced_memory,event_sourced_memory,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,2,tool_calling,2007,537,2544,10.335697358001198,0.3831649350004227,60.318832462096935,-1,True,1.0,,12,12,False,fallback,0,2,-1,-1,1.0,1.0,multi_stage_agentmem_01,2,"planning,tool_calling",log_analyzer,6112,375,0.061354712041884814,179,1070,0,453,9,1,0,0,1,0,1.0,1.0,1.0,
multi-stage,multi_stage_agentmem_01_reflect,benchmarks/tasks/multi_stage.jsonl,event_sourced_memory,event_sourced_memory,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,3,reflection,1197,458,1655,7.485752843000228,0.3721660420005719,61.18289096710778,-1,True,1.0,,12,12,False,fallback,0,1,-1,-1,1.0,1.0,multi_stage_agentmem_01,3,"planning,tool_calling,reflection",,0,0,1.0,250,1167,0,546,12,1,0,0,1,1,1.0,1.0,1.0,
multi-stage,multi_stage_agentmem_01_final,benchmarks/tasks/multi_stage.jsonl,event_sourced_memory,event_sourced_memory,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,4,final_answer,1081,308,1389,5.1306790670005284,0.35595326900056534,60.031039941865124,-1,True,1.0,,20,20,False,fallback,0,1,-1,-1,1.0,1.0,multi_stage_agentmem_01,4,"planning,tool_calling,reflection,final_answer",,0,0,1.0,339,1283,0,464,15,1,0,0,1,1,1.0,1.0,1.0,
