file,scenario,mode,rows,avg_prompt_tokens,avg_output_tokens,avg_total_tokens,avg_latency,avg_ttft,peak_gpu_memory_mb,success_rate,avg_score,avg_raw_tool_tokens,avg_injected_tool_tokens,avg_tool_compression_ratio,avg_state_view_tokens,avg_event_count,avg_snapshot_count,avg_branch_saving_ratio,agent_meta_enabled,cache_stats_available,cache_stats_unavailable_reason,cache_total_blocks,cache_agent_sessions,cache_tool_result_blocks,cache_shared_prefix_blocks,cache_scratchpad_blocks,cache_expired_branch_blocks
tool_heavy_baseline.csv,tool-heavy,baseline,1,13697.0,156.0,13853.0,4.888885389998904,2.8026817030004167,-1.0,100.0,1.0,6112.0,6112.0,1.0,0.0,0.0,0.0,0.0,True,True,,1024.0,9.0,1060.0,-1.0,-1.0,-1.0
tool_heavy_optimized.csv,tool-heavy,optimized,1,1568.0,390.0,1958.0,9.498831152999628,1.2900190590007696,-1.0,100.0,1.0,6112.0,375.0,0.061354712041884814,0.0,0.0,0.0,0.0,True,True,,1068.0,10.0,1091.0,-1.0,-1.0,-1.0
vllm_benchmark.csv,tool-heavy,both,2,7632.5,273.0,7905.5,7.193858271499266,2.046350381000593,-1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,1068.0,10.0,1091.0,-1.0,-1.0,-1.0
