scenario,task_id,workload_file,mode,memory_mode,backend,model,round,stage,prompt_tokens,output_tokens,total_tokens,latency,ttft,tokens_per_second,peak_gpu_memory_mb,success,score,failure_reason,passed_checks,total_checks,extractor_effective,extractor_status,extractor_success_count,extractor_failure_count,refill_count,refill_tokens,initial_score,final_score,session_id,step,completed_stages,tool_names,raw_tool_tokens,injected_tool_tokens,tool_compression_ratio,history_tokens,full_history_tokens,summary_tokens,state_view_tokens,event_count,memory_delta_count,fact_count,decision_count,artifact_ref_count,snapshot_count,early_fact_retention,initial_score,final_score,missing_keywords
multi-stage,multi_stage_agentmem_01_plan,benchmarks/tasks/multi_stage.jsonl,summary_memory,summary_memory,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,1,planning,356,173,529,2.9644631060000393,0.29559559100016486,58.35795346882543,-1,True,1.0,,6,6,False,not_used,0,0,-1,-1,1.0,1.0,multi_stage_agentmem_01,1,planning,,0,0,1.0,23,23,0,0,0,0,0,0,0,0,1.0,1.0,1.0,
multi-stage,multi_stage_agentmem_01_tool,benchmarks/tasks/multi_stage.jsonl,summary_memory,summary_memory,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,2,tool_calling,1762,252,2014,4.408106515000327,0.4519963660004578,57.25630685359525,-1,True,1.0,,12,12,False,not_used,0,0,-1,-1,1.0,1.0,multi_stage_agentmem_01,2,"planning,tool_calling",log_analyzer,6112,375,0.061354712041884814,543,543,0,0,0,0,0,0,0,0,1.0,1.0,1.0,
multi-stage,multi_stage_agentmem_01_reflect,benchmarks/tasks/multi_stage.jsonl,summary_memory,summary_memory,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,3,reflection,1910,231,2141,5.823220776000198,0.6496207640002467,39.66876903449077,-1,True,1.0,,12,12,False,not_used,0,0,-1,-1,1.0,1.0,multi_stage_agentmem_01,3,"planning,tool_calling,reflection",,0,0,1.0,692,692,0,0,0,0,0,0,0,0,1.0,1.0,1.0,
multi-stage,multi_stage_agentmem_01_final,benchmarks/tasks/multi_stage.jsonl,summary_memory,summary_memory,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,4,final_answer,2173,331,2504,8.711588604999633,0.3672743469996931,37.99536628830671,-1,False,0.9,answer_keyword:success rate;required_answer_point:success rate,18,20,False,not_used,0,0,-1,-1,0.9,0.9,multi_stage_agentmem_01,4,"planning,tool_calling,reflection,final_answer",,0,0,1.0,842,842,0,0,0,0,0,0,0,0,1.0,0.9,0.9,
