scenario,task_id,workload_file,mode,memory_mode,backend,model,round,stage,prompt_tokens,output_tokens,total_tokens,latency,ttft,tokens_per_second,peak_gpu_memory_mb,success,score,failure_reason,passed_checks,total_checks,extractor_effective,extractor_status,extractor_success_count,extractor_failure_count,refill_count,refill_tokens,initial_score,final_score,stable_prefix_hash,stable_prefix_tokens,unique_prefix_hashes,prefix_cache_hit_rate,cached_prompt_tokens,kv_cache_usage,extractor_effective,extractor_status,extractor_success_count,extractor_failure_count
prefix-cache,prefix_cache_round_01,metric:prefix-cache,optimized,optimized,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,1,prefix_cache,358,171,529,3.4179812429993035,0.36786309799936134,50.02953142304147,-1,True,1.0,,4,4,-1,-1,-1,-1,-1,-1,-1,-1,cb275d82051fabc9,175,1,-1.0,-1.0,-1.0,-1,-1,-1,-1
prefix-cache,prefix_cache_round_02,metric:prefix-cache,optimized,optimized,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,2,prefix_cache,358,169,527,6.236453784000332,0.29584510499989847,27.098733647889883,-1,True,1.0,,4,4,-1,-1,-1,-1,-1,-1,-1,-1,cb275d82051fabc9,175,1,-1.0,-1.0,-1.0,-1,-1,-1,-1
prefix-cache,prefix_cache_round_03,metric:prefix-cache,optimized,optimized,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,3,prefix_cache,358,95,453,1.7513839319999533,0.28832797699942603,54.24281807331468,-1,True,1.0,,4,4,-1,-1,-1,-1,-1,-1,-1,-1,cb275d82051fabc9,175,1,-1.0,-1.0,-1.0,-1,-1,-1,-1
prefix-cache,prefix_cache_round_04,metric:prefix-cache,optimized,optimized,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,4,prefix_cache,358,121,479,4.335686299999907,0.2978680880005413,27.907923135491284,-1,True,1.0,,4,4,-1,-1,-1,-1,-1,-1,-1,-1,cb275d82051fabc9,175,1,-1.0,-1.0,-1.0,-1,-1,-1,-1
prefix-cache,prefix_cache_round_05,metric:prefix-cache,optimized,optimized,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,5,prefix_cache,358,154,512,2.720101484999759,0.2973730499998055,56.61553469576288,-1,True,1.0,,4,4,-1,-1,-1,-1,-1,-1,-1,-1,cb275d82051fabc9,175,1,-1.0,-1.0,-1.0,-1,-1,-1,-1
prefix-cache,prefix_cache_round_06,metric:prefix-cache,optimized,optimized,vllm,/home/vip/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,6,prefix_cache,358,168,526,6.2898276840005565,0.29804136700022354,26.709793724133625,-1,True,1.0,,4,4,-1,-1,-1,-1,-1,-1,-1,-1,cb275d82051fabc9,175,1,-1.0,-1.0,-1.0,-1,-1,-1,-1
